Bing Crosby,White Christmas,1942
Bill Haley & his Comets,Rock Around the Clock,1955
Celine Dion,My Heart Will Go On,1998
Sinead O'Connor,Nothing Compares 2 U,1990
The Beatles,Hey Jude,1968
Bryan Adams,(Everything I Do) I Do it For You,1991
Whitney Houston,I Will Always Love You,1992
Pink Floyd,Another Brick in the Wall (part 2),1980
Irene Cara,Flashdance... What a Feeling,1983
Elton John,Candle in the Wind '97,1997
The Rolling Stones,(I Can't Get No) Satisfaction,1965
Coolio,Gangsta's Paradise,1995
